Date,Website_Visitors,Conversion_Rate,Category,Monthly_Spend
2022-01-02,515.0,0.044,Social Media,3782.99
2022-01-09,513.0,0.011,Email,2818.16
2022-01-16,432.0,0.043,SEO,3510.23
2022-01-23,431.0,0.021,Content Marketing,3337.26
2022-01-30,502.0,0.015,Paid Ads,4604.63
2022-02-06,519.0,0.038,Social Media,1181.79
2022-02-13,497.0,0.035,Email,2123.85
2022-02-20,434.0,0.045,SEO,4801.65
2022-02-27,515.0,0.039,Content Marketing,4561.06
2022-03-06,505.0,0.042,Paid Ads,2822.63
2022-03-13,453.0,0.021,Social Media,3480.53
2022-03-20,486.0,0.017,Email,2109.52
2022-03-27,508.0,0.04,SEO,1752.48
2022-04-03,450.0,0.042,Content Marketing,2854.79
2022-04-10,504.0,0.05,Paid Ads,2413.41
2022-04-17,540.0,0.027,Social Media,3334.62
2022-04-24,524.0,0.025,Email,1310.94
2022-05-01,536.0,0.041,SEO,4897.58
2022-05-08,419.0,0.024,Content Marketing,4944.84
2022-05-15,457.0,0.047,Paid Ads,3792.65
2022-05-22,570.0,0.044,Social Media,3144.39
2022-05-29,531.0,0.027,Email,2238.11
2022-06-05,489.0,0.04,SEO,4255.18
2022-06-12,638.0,0.04,Content Marketing,3738.92
2022-06-19,521.0,0.014,Paid Ads,1650.47
2022-06-26,580.0,0.046,Social Media,4643.71
2022-07-03,532.0,0.03,Email,4290.15
2022-07-10,504.0,0.043,SEO,4799.2
2022-07-17,504.0,0.023,Content Marketing,3902.88
2022-07-24,551.0,0.046,Paid Ads,3453.66
2022-07-31,481.0,0.026,Social Media,2672.97
2022-08-07,480.0,0.01,Email,4730.91
2022-08-14,504.0,0.046,SEO,4464.26
2022-08-21,493.0,0.014,Content Marketing,1180.87
2022-08-28,602.0,0.023,Paid Ads,1105.47
2022-09-04,422.0,0.048,Social Media,2505.85
2022-09-11,566.0,0.048,Email,4242.21
2022-09-18,389.0,0.033,SEO,4949.1
2022-09-25,495.0,0.035,Content Marketing,1601.67
2022-10-02,573.0,0.028,Paid Ads,3376.52
2022-10-09,504.0,0.022,Social Media,2523.56
2022-10-16,435.0,0.023,Email,4879.66
2022-10-23,500.0,0.037,SEO,4368.48
2022-10-30,527.0,0.04,Content Marketing,4353.31
2022-11-06,445.0,0.042,Paid Ads,2874.77
2022-11-13,496.0,0.042,Social Media,2659.28
2022-11-20,543.0,0.014,Email,2093.63
2022-11-27,477.0,0.03,SEO,1225.5
2022-12-04,629.0,0.012,Content Marketing,4458.89
2022-12-11,564.0,0.032,Paid Ads,4251.6
2022-12-18,387.0,0.028,Social Media,4998.87
2022-12-25,490.0,0.046,Email,4986.55
2023-01-01,490.0,0.024,SEO,3221.73
2023-01-08,537.0,0.015,Content Marketing,4075.95
2023-01-15,430.0,0.016,Paid Ads,4779.06
2023-01-22,542.0,0.04,Social Media,4398.59
2023-01-29,526.0,0.035,Email,1989.39
2023-02-05,534.0,0.014,SEO,2802.18
2023-02-12,500.0,0.013,Content Marketing,1516.64
2023-02-19,484.0,0.038,Paid Ads,4816.2
2023-02-26,462.0,0.013,Social Media,3424.7
2023-03-05,475.0,0.043,Email,1914.57
2023-03-12,538.0,0.038,SEO,3686.8
2023-03-19,556.0,0.013,Content Marketing,3472.51
2023-03-26,410.0,0.013,Paid Ads,2432.65
2023-04-02,556.0,0.049,Social Media,1454.23
2023-04-09,588.0,0.025,Email,3686.29
2023-04-16,542.0,0.025,SEO,3081.23
2023-04-23,434.0,0.043,Content Marketing,4089.27
2023-04-30,440.0,0.048,Paid Ads,3080.65
2023-05-07,551.0,0.049,Social Media,4408.73
2023-05-14,477.0,0.04,Email,3207.63
2023-05-21,523.0,0.025,SEO,3243.75
2023-05-28,547.0,0.013,Content Marketing,4506.61
2023-06-04,467.0,0.041,Paid Ads,2613.93
2023-06-11,542.0,0.032,Social Media,1536.06
2023-06-18,328.0,0.027,Email,1115.13
2023-06-25,489.0,0.046,SEO,4020.55
2023-07-02,471.0,0.014,Content Marketing,3481.24
2023-07-09,461.0,0.03,Paid Ads,3816.32
2023-07-16,583.0,0.01,Social Media,1851.86
2023-07-23,394.0,0.029,Email,1545.49
2023-07-30,512.0,0.012,SEO,1058.18
2023-08-06,495.0,0.015,Content Marketing,2402.35
2023-08-13,587.0,0.015,Paid Ads,3359.67
2023-08-20,461.0,0.036,Social Media,2568.98
2023-08-27,567.0,0.04,Email,2749.9
2023-09-03,475.0,0.033,SEO,4616.63
2023-09-10,458.0,0.048,Content Marketing,2393.02
2023-09-17,489.0,0.025,Paid Ads,3055.96
2023-09-24,512.0,0.021,Social Media,4134.61
2023-10-01,480.0,0.045,Email,2586.17
2023-10-08,517.0,0.019,SEO,3488.35
2023-10-15,469.0,0.049,Content Marketing,4449.45
2023-10-22,515.0,0.01,Paid Ads,4798.08
2023-10-29,543.0,0.049,Social Media,1588.29
2023-11-05,544.0,0.012,Email,4706.35
2023-11-12,423.0,0.046,SEO,2968.47
2023-11-19,638.0,0.031,Content Marketing,2032.98
2023-11-26,424.0,0.05,Paid Ads,2836.54
2023-12-03,498.0,0.013,Social Media,4920.13
2023-12-10,507.0,0.032,Email,2970.47
2023-12-17,499.0,0.049,SEO,2315.01
2023-12-24,478.0,0.031,Content Marketing,3533.6
2023-12-31,527.0,0.035,Paid Ads,1960.58
,,,Social Media,1303.45
,,,Email,1515.52
,,,SEO,1512.18
,,,Content Marketing,1607.61
,,,Paid Ads,1555.31
,,,Social Media,3563.5
,,,Email,1727.52
,,,SEO,2382.67
,,,Content Marketing,4587.15
,,,Paid Ads,2895.85
,,,Social Media,3670.23
,,,Email,1689.28
,,,SEO,1769.16
,,,Content Marketing,1163.47
,,,Paid Ads,1675.74
,,,Social Media,2114.36
,,,Email,1708.04
,,,SEO,1354.81
,,,Content Marketing,1482.54
,,,Paid Ads,2843.12
,,,Social Media,1825.33
,,,Email,2457.08
,,,SEO,3013.67
,,,Content Marketing,3761.58
,,,Paid Ads,1157.25
