country,price,continent
USA,33.900,North America
Australia,27.200,Oceania
UK,24.800,Europe
Italy,23.000,Europe
Canada,21.900,North America
Spain,21.200,Europe
New Zealand,19.200,Oceania
France,18.900,Europe
Japan,18.200,Asia
Germany,17.000,Europe
Brazil,15.800,South America
Singapore,15.300,Asia
Ireland,14.900,Europe
Austria,14.500,Europe
Netherlands,13.800,Europe
Switzerland,13.600,Europe
Sweden,12.700,Europe
Belgium,12.500,Europe
Israel,12.300,Asia
Norway,11.800,Europe
Denmark,11.200,Europe
Finland,10.800,Europe
Russia,9.800,Europe
Philippines,4.000,Asia
Vietnam,3.800,Asia
Indonesia,3.500,Asia
Romania,3.300,Europe
Serbia,3.100,Europe
Ukraine,2.900,Europe
Bulgaria,2.700,Europe
Morocco,2.500,Africa
Nigeria,2.200,Africa